id,statement,facet,reversed,response
2,"Is compassionate, has a soft heart.",Compassion,False,3
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,3
45,Has difficulty imagining things.,Creative Imagination,True,1
32,Is helpful and unselfish with others.,Compassion,False,5
5,Has few artistic interests.,Aesthetic_Sensitivity,True,1
28,Can be somewhat careless.,Responsibility,True,4
6,Has an assertive personality.,Assertiveness,False,5
34,Worries a lot.,Anxiety,False,5
37,Is sometimes rude to others.,Respectfulness,True,5
17,Feels little sympathy for others.,Compassion,True,1
8,Tends to be lazy.,Productiveness,True,4
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,5
53,"Is persistent, works until the task is finished.",Productiveness,False,5
38,"Is efficient, gets things done.",Productiveness,False,5
58,Sometimes behaves irresponsibly.,Responsibility,True,1
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,3
57,Assumes the best about people.,Trust,False,5
52,"Is polite, courteous to others.",Respectfulness,False,5
10,Is curious about many different things.,Intellectual_curiosity,False,5
26,Is less active than other people.,Energy level,True,4
44,Keeps their emotions under control.,Emotional Volatility,True,5
30,Has little creativity.,Creative Imagination,True,1
19,Can be tense.,Anxiety,False,4
42,Is suspicious of others’ intentions.,Trust,True,5
43,"Is reliable, can always be counted on.",Responsibility,False,5
4,"Is relaxed, handles stress well.",Anxiety,True,5
47,Can be cold and uncaring.,Compassion,True,1
31,"Is sometimes shy, introverted.",Sociability,True,3
27,Has a forgiving nature.,Trust,False,5
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,5
9,Stays optimistic after experiencing a setback.,Depression,True,5
21,"Is dominant, acts as a leader.",Assertiveness,False,5
51,Prefers to have others take charge.,Assertiveness,True,4
13,"Is dependable, steady.",Responsibility,False,5
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,1
12,Tends to find fault with others.,Trust,True,4
23,Has difficulty getting started on tasks.,Productiveness,True,4
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,1
1,"Is outgoing, sociable.",Sociability,False,5
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,4
33,Keeps things neat and tidy.,Organization,False,5
48,"Leaves a mess, doesn’t clean up.",Organization,True,1
60,"Is original, comes up with new ideas",Creative Imagination,False,5
18,"Is systematic, likes to keep things in order.",Organization,False,5
22,Starts arguments with others.,Respectfulness,True,4
35,Values art and beauty.,Aesthetic_Sensitivity,False,5
56,Shows a lot of enthusiasm.,Energy level,False,5
54,"Tends to feel depressed, blue.",Depression,False,4
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,1
41,Is full of energy.,Energy level,False,5
49,Rarely feels anxious or afraid.,Anxiety,True,4
3,Tends to be disorganized.,Organization,True,4
7,"Is respectful, treats others with respect.",Respectfulness,False,5
36,Finds it hard to influence people.,Assertiveness,True,1
46,Is talkative.,Sociability,False,4
24,"Feels secure, comfortable with self.",Depression,True,5
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,5
39,Often feels sad.,Depression,False,4
11,Rarely feels excited or eager.,Energy level,True,4
16,Tends to be quiet.,Sociability,True,4
