id,statement,facet,reversed,response
1,"Is outgoing, sociable.",Sociability,False,1. Is outgoing
2,"Is compassionate, has a soft heart.",Compassion,False,sociable - 3
3,Tends to be disorganized.,Organization,True,2. Is compassionate
4,"Is relaxed, handles stress well.",Anxiety,True,has a soft heart - 4
5,Has few artistic interests.,Aesthetic_Sensitivity,True,3. Tends to be disorganized - 3
6,Has an assertive personality.,Assertiveness,False,4. Is relaxed
7,"Is respectful, treats others with respect.",Respectfulness,False,handles stress well - 4
8,Tends to be lazy.,Productiveness,True,5. Has few artistic interests - 2
9,Stays optimistic after experiencing a setback.,Depression,True,6. Has an assertive personality - 4
10,Is curious about many different things.,Intellectual_curiosity,False,7. Is respectful
11,Rarely feels excited or eager.,Energy level,True,treats others with respect - 5
12,Tends to find fault with others.,Trust,True,8. Tends to be lazy - 1
13,"Is dependable, steady.",Responsibility,False,9. Stays optimistic after experiencing a setback - 4
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,10. Is curious about many different things - 4
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,11. Rarely feels excited or eager - 2
16,Tends to be quiet.,Sociability,True,12. Tends to find fault with others - 3
17,Feels little sympathy for others.,Compassion,True,13. Is dependable
18,"Is systematic, likes to keep things in order.",Organization,False,steady - 5
19,Can be tense.,Anxiety,False,14. Is moody
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,has up and down mood swings - 4
21,"Is dominant, acts as a leader.",Assertiveness,False,15. Is inventive
22,Starts arguments with others.,Respectfulness,True,finds clever ways to do things - 5
23,Has difficulty getting started on tasks.,Productiveness,True,16. Tends to be quiet - 2
24,"Feels secure, comfortable with self.",Depression,True,17. Feels little sympathy for others - 3
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,18. Is systematic
26,Is less active than other people.,Energy level,True,likes to keep things in order - 5
27,Has a forgiving nature.,Trust,False,19. Can be tense - 3
28,Can be somewhat careless.,Responsibility,True,20. Is fascinated by art
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,music
30,Has little creativity.,Creative Imagination,True,or literature - 4
31,"Is sometimes shy, introverted.",Sociability,True,21. Is dominant
32,Is helpful and unselfish with others.,Compassion,False,acts as a leader - 4
33,Keeps things neat and tidy.,Organization,False,22. Starts arguments with others - 3
34,Worries a lot.,Anxiety,False,23. Has difficulty getting started on tasks - 2
35,Values art and beauty.,Aesthetic_Sensitivity,False,24. Feels secure
36,Finds it hard to influence people.,Assertiveness,True,comfortable with self - 5
37,Is sometimes rude to others.,Respectfulness,True,25. Avoids intellectual
38,"Is efficient, gets things done.",Productiveness,False,philosophical discussions - 1
39,Often feels sad.,Depression,False,26. Is less active than other people - 3
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,27. Has a forgiving nature - 4
41,Is full of energy.,Energy level,False,28. Can be somewhat careless - 3
42,Is suspicious of others’ intentions.,Trust,True,29. Is emotionally stable
43,"Is reliable, can always be counted on.",Responsibility,False,not easily upset - 5
44,Keeps their emotions under control.,Emotional Volatility,True,30. Has little creativity - 1
45,Has difficulty imagining things.,Creative Imagination,True,31. Is sometimes shy
46,Is talkative.,Sociability,False,introverted - 2
47,Can be cold and uncaring.,Compassion,True,32. Is helpful and unselfish with others - 5
48,"Leaves a mess, doesn’t clean up.",Organization,True,33. Keeps things neat and tidy - 4
49,Rarely feels anxious or afraid.,Anxiety,True,34. Worries a lot - 3
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,35. Values art and beauty - 5
51,Prefers to have others take charge.,Assertiveness,True,36. Finds it hard to influence people - 3
52,"Is polite, courteous to others.",Respectfulness,False,37. Is sometimes rude to others - 2
53,"Is persistent, works until the task is finished.",Productiveness,False,38. Is efficient
54,"Tends to feel depressed, blue.",Depression,False,gets things done - 5
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,39. Often feels sad - 3
56,Shows a lot of enthusiasm.,Energy level,False,40. Is complex
57,Assumes the best about people.,Trust,False,a deep thinker - 4
58,Sometimes behaves irresponsibly.,Responsibility,True,41. Is full of energy - 5
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,42. Is suspicious of others’ intentions - 3
60,"Is original, comes up with new ideas",Creative Imagination,False,43. Is reliable
