id,statement,facet,reversed,response
1,"Is outgoing, sociable.",Sociability,False,4
2,"Is compassionate, has a soft heart.",Compassion,False,4
3,Tends to be disorganized.,Organization,True,3
4,"Is relaxed, handles stress well.",Anxiety,True,3
5,Has few artistic interests.,Aesthetic_Sensitivity,True,2
6,Has an assertive personality.,Assertiveness,False,4
7,"Is respectful, treats others with respect.",Respectfulness,False,5
8,Tends to be lazy.,Productiveness,True,2
9,Stays optimistic after experiencing a setback.,Depression,True,3
10,Is curious about many different things.,Intellectual_curiosity,False,4
11,Rarely feels excited or eager.,Energy level,True,4
12,Tends to find fault with others.,Trust,True,3
13,"Is dependable, steady.",Responsibility,False,4
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,3
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,3
16,Tends to be quiet.,Sociability,True,5
17,Feels little sympathy for others.,Compassion,True,1
18,"Is systematic, likes to keep things in order.",Organization,False,3
19,Can be tense.,Anxiety,False,5
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,4
21,"Is dominant, acts as a leader.",Assertiveness,False,3
22,Starts arguments with others.,Respectfulness,True,1
23,Has difficulty getting started on tasks.,Productiveness,True,4
24,"Feels secure, comfortable with self.",Depression,True,5
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,3
26,Is less active than other people.,Energy level,True,4
27,Has a forgiving nature.,Trust,False,4
28,Can be somewhat careless.,Responsibility,True,4
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,4
30,Has little creativity.,Creative Imagination,True,2
31,"Is sometimes shy, introverted.",Sociability,True,2
32,Is helpful and unselfish with others.,Compassion,False,5
33,Keeps things neat and tidy.,Organization,False,5
34,Worries a lot.,Anxiety,False,2
35,Values art and beauty.,Aesthetic_Sensitivity,False,3
36,Finds it hard to influence people.,Assertiveness,True,4
37,Is sometimes rude to others.,Respectfulness,True,1
38,"Is efficient, gets things done.",Productiveness,False,4
39,Often feels sad.,Depression,False,3
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,3
41,Is full of energy.,Energy level,False,3
42,Is suspicious of others’ intentions.,Trust,True,3
43,"Is reliable, can always be counted on.",Responsibility,False,5
44,Keeps their emotions under control.,Emotional Volatility,True,5
45,Has difficulty imagining things.,Creative Imagination,True,5
46,Is talkative.,Sociability,False,5
47,Can be cold and uncaring.,Compassion,True,5
48,"Leaves a mess, doesn’t clean up.",Organization,True,4
49,Rarely feels anxious or afraid.,Anxiety,True,2
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,5
51,Prefers to have others take charge.,Assertiveness,True,2
52,"Is polite, courteous to others.",Respectfulness,False,5
53,"Is persistent, works until the task is finished.",Productiveness,False,4
54,"Tends to feel depressed, blue.",Depression,False,3
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,5
56,Shows a lot of enthusiasm.,Energy level,False,5
57,Assumes the best about people.,Trust,False,4
58,Sometimes behaves irresponsibly.,Responsibility,True,3
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,2
60,"Is original, comes up with new ideas",Creative Imagination,False,4
